# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6821
#@/user_id	d7bca733-c966-4bb9-82c2-6797267e84e9
a 	啊	c=11 d=2.40186 t=6639
pei zhi de shi 	配置的是	c=1 d=1 t=4141
pei zhi wen jian 	配置文件	c=3 d=1.00005 t=5471
peng you 	朋友	c=2 d=1.93239 t=3196
peng you men 	朋友們	c=1 d=1 t=2821
pi 	批	c=1 d=1 t=5649
pi nun 	皮嫩	c=1 d=0.941765 t=6821
pian yi 	便宜	c=0 d=0.0932394 t=6821
pian yi de 	便宜的	c=1 d=0.937067 t=6821
ping 	評	c=1 d=1 t=6818
ping an 	平安	c=0 d=0.1 t=1465
ping gu 	評估	c=1 d=1 t=338
ping guo 	蘋果	c=2 d=1.00003 t=5903
ping jun 	平均	c=1 d=1 t=1232
ping mu 	屏幕	c=5 d=1.09586 t=6186
ping tai 	平臺	c=3 d=1 t=5581
ping tai shang 	平臺上	c=1 d=1 t=762
po 	破	c=2 d=1.99501 t=5512
po 	頗	c=1 d=1 t=5518
qi 	其	c=1 d=1.05379 t=4670
qi 	器	c=1 d=1.08709 t=6821
qi dong 	啓動	c=1 d=1.05761 t=596
qi dong hou 	啓動後	c=1 d=1 t=597
qi dong tai 	启动台	c=1 d=1 t=565
qi dong xiang 	啓動項	c=1 d=1 t=570
qi guai 	奇怪	c=0 d=0.1 t=3881
qi hang 	啓航	c=1 d=1.099 t=5642
qi hang jiao yu 	啓航教育	c=1 d=1 t=5641
qi hun 	棋魂	c=1 d=1 t=6085
qi kan 	期刊	c=1 d=1 t=6395
qi lai 	起來	c=0 d=0.1 t=4932
qi ma 	起碼	c=1 d=1 t=4089
qi ming 	起名	c=1 d=1 t=6566
qi ming zi 	起名字	c=1 d=1 t=6460
qi shi 	其實	c=0 d=0.1 t=3256
qi shi ke yi 	其實可以	c=1 d=1 t=3257
qi shi mie zu 	欺師滅祖	c=1 d=1 t=2811
qi ta 	其他	c=1 d=1 t=5911
qi ta cha zhao suan fa de 	其他查找算法的	c=1 d=1 t=1143
qi ta guo jia 	其他國家	c=1 d=1 t=1569
qi ta miao shu 	其他描述	c=1 d=1 t=3615
qi ta pai xu suan fa 	其他排序算法	c=1 d=1 t=1293
qi wang 	期望	c=1 d=1 t=4478
qi wang de 	期望的	c=1 d=1 t=1341
qi zhong 	其中	c=0 d=0.1 t=3373
qi zhong you ge 	其中有個	c=1 d=1 t=3374
qia hao 	恰好	c=0 d=0.1 t=3264
qia hao jiu you 	恰好就有	c=1 d=1 t=3265
qia te 	恰特	c=1 d=1 t=5647
qian an shi 	遷安市	c=0 d=0.1 t=5518
qian an shi de feng ge he jin kou liang 	遷安市的風格和進口量	c=1 d=1 t=5519
qian ban 	前半	c=0 d=0.1 t=5048
qian ban bu fen 	前半部分	c=1 d=1 t=5049
qian dao 	簽到	c=1 d=1 t=2204
qian jing 	前景	c=1 d=1 t=6430
qian mian de 	前面的	c=1 d=1 t=5181
qian suo wei you 	前所未有	c=1 d=1 t=302
qian tao 	嵌套	c=0 d=0.1 t=1935
qian tao cha xun 	嵌套查詢	c=1 d=1 t=1936
qian yi 	遷移	c=0 d=0.0606531 t=130
qian yi dao 	遷移到	c=1 d=0.609571 t=130
qian ze 	譴責	c=1 d=1 t=390
qiang 	強	c=1 d=1 t=6807
qiang bao 	搶報	c=1 d=1 t=5565
qiang hua 	強化	c=0 d=0.1 t=2044
qiang hua de 	強化的	c=1 d=1 t=2045
qiang jian 	強姦	c=1 d=1.09418 t=3028
qiang po 	強迫	c=1 d=1 t=2944
qiang xing 	強行	c=1 d=1 t=2994
qiao 	巧	c=0 d=0.1 t=5483
qiao ke fu 	巧克服	c=1 d=1 t=5484
qiao le 	翹了	c=0 d=0.1 t=5422
qiao men 	撬門	c=1 d=1 t=6485
qie huan dao 	切換到	c=1 d=1 t=1445
qing 	情	c=1 d=1 t=463
qing 	清	c=3 d=1.00001 t=6554
qing 	請	c=7 d=1.63016 t=6324
qing an 	請按	c=0 d=0.1 t=5139
qing an zhao ni shuo de zhe yang 	請按照你說的這樣	c=1 d=1 t=5140
qing ba 	請把	c=3 d=1.01034 t=6000
qing ba ta men 	請把他們	c=1 d=1 t=5082
qing cai ce 	請猜測	c=1 d=1 t=2985
qing chu 	清楚	c=0 d=0.1 t=3053
qing dui 	請對	c=8 d=7.20311 t=6384
qing gao su wo 	請告訴我	c=2 d=1.01046 t=5864
qing gei wo 	請給我	c=2 d=1.00002 t=5156
qing hui 	清灰	c=3 d=2.95072 t=5734
qing kong 	清空	c=0 d=0.191851 t=4116
qing kong hou 	清空後	c=1 d=1 t=4117
qing kong hui shou zhan 	清空回收站	c=1 d=1 t=4100
qing kuang 	情況	c=2 d=0.1 t=4533
qing kuang xia 	情況下	c=1 d=0.561249 t=1246
qing ling 	清零	c=1 d=1 t=2319
qing ming que 	請明確	c=1 d=1 t=6325
qing ni 	請你	c=4 d=1.00442 t=5060
qing ni cai cai 	請你猜猜	c=2 d=1.87372 t=2929
qing ni ji xia 	請你記下	c=1 d=1 t=3531
qing ni jiao wo 	請你教我	c=1 d=1 t=3384
qing ni ming bai 	請你明白	c=1 d=1 t=3536
qing ni xian 	請你先	c=1 d=1 t=4355
qing rang wo 	請讓我	c=1 d=1 t=5045
qing shan chu 	請刪除	c=2 d=1.92774 t=894
qing sheng cheng 	請生成	c=1 d=1 t=3616
qing shi 	輕視	c=1 d=1 t=466
qing shu ru 	請輸入	c=1 d=1 t=1391
qing tian 	晴天	c=1 d=1 t=5593
qing wen 	請問	c=1 d=1 t=3554
qing xi shuo 	請細說	c=1 d=1 t=4866
qing xie 	傾斜	c=1 d=1 t=232
qing yi 	請以	c=0 d=0.1 t=2976
qing yi ta de 	請以她的	c=1 d=1 t=2977
qing yong 	請用	c=0 d=0.1 t=5144
qing yong zhong wen 	請用中文	c=1 d=1 t=5145
qiu 	求	c=1 d=1 t=4731
qiu chu 	求出	c=1 d=1 t=4757
qiu jie 	求解	c=7 d=2.18233 t=5337
qiu jiu 	求救	c=2 d=1.79453 t=3051
qiu rao 	求饒	c=0 d=0.1 t=3031
qiu zhu 	求助	c=1 d=1 t=5879
qu 	區	c=0 d=0.0941765 t=6821
qu 	去	c=4 d=1.04524 t=4623
qu 	取	c=1 d=1 t=2365
qu de 	取得	c=1 d=1 t=346
qu de le 	取得了	c=2 d=1.00091 t=2589
qu diao 	去掉	c=2 d=1.70469 t=6236
qu diao le 	去掉了	c=1 d=1 t=3768
qu dong 	驅動	c=3 d=1.01438 t=6732
qu fan 	取反	c=1 d=1 t=2360
qu jiang 	曲江	c=0 d=0.1 t=5621
qu jiang nan 	曲江南	c=1 d=1 t=5622
qu na 	去哪	c=0 d=0.1 t=3845
qu na li 	去哪裏	c=0 d=0.1 t=3842
qu na li zhao ni ne 	去哪裏找你呢	c=1 d=1 t=3843
qu na ni 	去哪你	c=1 d=1 t=3846
qu wang shang 	去網上	c=1 d=1 t=4454
qu xiao 	取消	c=3 d=1 t=5453
qu zhao 	去找	c=1 d=1 t=4619
quan 	全	c=1 d=1 t=926
quan 	權	c=1 d=1 t=3295
quan bu 	全部	c=0 d=0.1 t=1916
quan bu lie 	全部列	c=1 d=1 t=1917
quan cheng 	全程	c=0 d=0.1 t=5836
quan cheng cao zuo 	全程操作	c=1 d=1 t=5837
quan jiao 	全角	c=0 d=0.1 t=6417
quan jiao kong ge 	全角空格	c=1 d=1 t=6418
quan ju 	全局	c=3 d=1.00468 t=5311
quan ming 	全名	c=1 d=1 t=3678
quan ping 	全屏	c=1 d=1 t=593
quan shi jie 	全世界	c=2 d=1.81058 t=156
quan wai ren 	圈外人	c=1 d=1 t=2167
quan zuo le 	全做了	c=1 d=1 t=928
que 	卻	c=2 d=1 t=5713
que ding 	確定	c=1 d=1 t=4627
que hun ma jiang 	雀魂麻将	c=1 d=1 t=6640
que ren 	確認	c=0 d=0.1 t=3801
que shi 	確實	c=1 d=1 t=4400
que shi 	缺失	c=1 d=1.1 t=722
que shi yi xia zai 	缺失已下載	c=1 d=1 t=723
que xin 	確信	c=0 d=0.1 t=4839
qun 	羣	c=0 d=0.1 t=4232
ran hou 	然後	c=6 d=1.02501 t=6206
ran hou ne 	然後呢	c=1 d=1 t=3104
ran hou shu chu 	然後輸出	c=1 d=1 t=4275
rang 	讓	c=3 d=1.00065 t=6703
rang cheng xu 	讓程序	c=1 d=1 t=5167
rang ni 	讓你	c=1 d=1 t=2883
rang wo 	讓我	c=1 d=0.109326 t=5044
rang wo kan kan 	讓我看看	c=1 d=1 t=2666
rang wo men 	讓我們	c=1 d=1 t=4891
rang wo zhao ge 	讓我找個	c=1 d=1 t=2185
ren 	人	c=4 d=1.12419 t=4301
ren de 	人的	c=3 d=2.94099 t=3546
ren gong zhi neng 	人工智能	c=2 d=0.100262 t=5420
ren he 	仁和	c=0 d=0.1 t=2141
ren he 	任何	c=4 d=1.97874 t=5862
ren he dong xi 	任何東西	c=1 d=1 t=3362
ren he jia yuan 	仁和家園	c=1 d=1 t=2142
ren he wen ti 	任何問題	c=1 d=1 t=5836
ren he ying xiang 	任何影響	c=1 d=1 t=2722
ren ji 	人機	c=2 d=1.9802 t=638
ren lei 	人類	c=3 d=0.100049 t=6161
ren lei he 	人類和	c=1 d=1 t=4017
ren lei ke du 	人類可讀	c=1 d=1 t=6162
ren lei le 	人類了	c=1 d=1 t=3191
ren min 	人民	c=2 d=1.00104 t=1523
ren shi 	認識	c=1 d=1.00006 t=2762
ren shi le 	認識了	c=1 d=1 t=1285
ren shou 	人壽	c=1 d=1 t=2135
ren tong 	認同	c=1 d=1 t=3591
ren wei 	認爲	c=2 d=1.30122 t=3824
ren wu 	人物	c=0 d=0.1 t=6564
ren wu 	任務	c=0 d=0.1 t=2677
ren zhi 	認知	c=0 d=0.1 t=2806
ren zhi li 	認知裏	c=1 d=1 t=2807
reng qu 	扔去	c=1 d=1 t=4188
reng ran 	仍然	c=0 d=0.1 t=3468
ri ben 	日本	c=1 d=1 t=5951
ri chun 	日春	c=1 d=1 t=1454
ri ji 	日記	c=4 d=3.74275 t=2960
ri ji li 	日记里	c=2 d=1.88692 t=2928
ri qi 	日期	c=1 d=1 t=5985
ri xun 	日訊	c=0 d=0.1 t=4464
ri yi 	日益	c=1 d=1 t=492
rong qi 	容器	c=2 d=1.51685 t=717
rong rong 	榮榮	c=1 d=1 t=5571
rou yan 	肉眼	c=0 d=0.0806541 t=130
rou yan ke jian de 	肉眼可見的	c=1 d=0.810584 t=130
ru 	入	c=1 d=1.00003 t=2578
ru 	如	c=3 d=1 t=5797
ru ci 	如此	c=1 d=0.100024 t=3243
ru ci gao de 	如此高的	c=1 d=1 t=3244
ru fu su 	如復甦	c=1 d=1 t=530
ru guo 	如果	c=18 d=1.12349 t=6120
ru guo ni ming bai 	如果你明白	c=1 d=1 t=3363
ru he 	如何	c=15 d=0.980199 t=6821
ru he shi yong 	如何使用	c=3 d=2.15396 t=5214
ru he wei 	如何爲	c=1 d=1 t=4973
ru keng 	入坑	c=1 d=0.100025 t=4283
ru lei 	如雷	c=2 d=1.97045 t=2038
ru xia 	如下	c=3 d=1 t=6148
ruan 	軟	c=0 d=0.1 t=5625
ruan jian 	軟件	c=5 d=1 t=5923
ruan jian gong cheng 	軟件工程	c=1 d=1 t=2263
ruan jian kai fa 	軟件開發	c=0 d=0.1 t=525
ruan jian kai fa ji shu 	軟件開發技術	c=1 d=1 t=526
ruan lu you 	軟路由	c=1 d=1 t=5626
rui chen 	瑞辰	c=1 d=1 t=6555
ruo 	若	c=2 d=0.1 t=4690
ruo bi 	若比	c=1 d=1 t=1106
ruo gan 	若干	c=0 d=0.1 t=1741
ruo gan hang 	若干行	c=1 d=1 t=1742
ruo ta men de 	若他們的	c=1 d=1 t=4691
san 	三	c=2 d=1.00488 t=2024
san 	散	c=1 d=1 t=2668
san bing 	傘兵	c=1 d=1 t=3772
san ge 	三個	c=2 d=1 t=5034
san he yi 	三合一	c=1 d=1 t=2657
san se hui lian 	三色绘恋	c=2 d=1.69768 t=690
san tai 	三臺	c=1 d=1 t=5891
san yue qi 	三月七	c=1 d=1 t=5883
san zhang biao 	三張表	c=1 d=1 t=1951
san zhong 	三種	c=0 d=0.1 t=5167
san zhong jie guo 	三種結果	c=1 d=1 t=5168
se se 	澀澀	c=0 d=0.1 t=2202
se tu 	澀圖	c=1 d=1 t=2201
se tu 	色圖	c=1 d=1 t=2202
sha 	傻	c=1 d=1 t=3736
sha 	殺	c=0 d=0.1 t=5637
sha diao 	殺掉	c=1 d=1 t=5867
sha lu jian ta 	杀戮尖塔	c=1 d=1 t=2172
sha si 	殺死	c=0 d=0.1 t=6786
sha si de hao 	殺死的好	c=1 d=1 t=6787
sha yi ge 	殺一個	c=1 d=1 t=5638
shai xuan chu 	篩選出	c=0 d=0.1 t=5503
shai xuan chu zui ai ai shang dao chu dou shi ai ai shu cong 	篩選出最愛愛上到處都是愛矮樹叢	c=1 d=1 t=5504
shan 	刪	c=2 d=0.899889 t=4171
shan bu diao 	刪不掉	c=1 d=1 t=4172
shan bu liao 	刪不了	c=1 d=1 t=521
shan chu 	刪除	c=13 d=1.56361 t=6295
shan chu 	閃出	c=1 d=1 t=6496
shan chu shu ju 	删除数据	c=1 d=1 t=1850
shan de 	刪的	c=1 d=1 t=4079
shan di 	闪迪	c=1 d=1 t=6702
shan dian zhan 	閃電戰	c=1 d=1 t=352
shan dong xi 	刪東西	c=1 d=1 t=4088
shan le 	刪了	c=2 d=0.17637 t=4124
shan tian liang 	山田凉	c=2 d=1.95779 t=3490
shan tian liang de 	山田凉的	c=1 d=1 t=3476
shan wen jian 	刪文件	c=1 d=1 t=4060
shang 	上	c=10 d=1.69399 t=6777
shang de 	上的	c=2 d=1 t=5942
shang dian 	商店	c=0 d=0.1 t=615
shang jia 	上家	c=1 d=1 t=6537
shang mian 	上面	c=3 d=0.1 t=4996
shang mian de 	上面的	c=1 d=1 t=5147
shang mian shuo de 	上面說的	c=1 d=1 t=4997
shang wang 	上網	c=0 d=0.1 t=4456
shang xia wen 	上下文	c=0 d=0.1 t=3719
shang xian 	上限	c=1 d=1 t=5610
shang yi 	上一	c=0 d=0.1 t=4691
shang yi dui 	上一對	c=1 d=1 t=4692
shao liang 	少量	c=1 d=1 t=6759
she bei 	設備	c=5 d=2.01919 t=6603
she ding 	設定	c=1 d=1.09704 t=3961
she ding bu chong 	設定補充	c=1 d=1 t=2893
she ding de 	設定的	c=1 d=1 t=3955
she ji 	設計	c=6 d=1.86524 t=6438
she ji fang fa 	設計方法	c=1 d=1 t=2226
she ji kai fa liu cheng 	設計開發流程	c=1 d=1 t=2239
she ji liang zhong 	設計兩種	c=1 d=1 t=5246
she ji shu ru 	設計輸入	c=1 d=1 t=2243
she ji yu fang zhen 	設計與仿真	c=1 d=1 t=2652
she ji zhong 	設計中	c=1 d=1 t=4979
she me 	什麼	c=2 d=0.100117 t=4072
she qu 	社區	c=1 d=1 t=6688
she qun 	社羣	c=1 d=1 t=6721
she tuan 	社團	c=2 d=1.90937 t=6726
she zhi 	設置	c=3 d=0.280236 t=6160
she zhi le 	設置了	c=1 d=1 t=5562
shei 	誰	c=1 d=1 t=5644
shei shi 	誰是	c=2 d=1.25795 t=3793
shen bian 	身邊	c=1 d=1 t=6502
shen fen 	身份	c=1 d=0.100028 t=5577
shen ke 	深刻	c=0 d=0.1 t=2580
shen me 	什麼	c=5 d=2.71994 t=6075
shen me a 	什麼啊	c=0 d=0.1 t=3867
shen me de 	什麼的	c=1 d=1 t=807
shen me di fang 	什麼地方	c=1 d=1.04086 t=3845
shen me dou bu yong shuo 	什麼都不用說	c=1 d=1 t=4639
shen me ne 	什麼呢	c=1 d=0.584325 t=3276
shen me shi 	什麼是	c=6 d=1.26318 t=5950
shen me yi si 	什麼意思	c=0 d=0.1 t=3400
shen ru 	深入	c=0 d=0.1 t=2605
shen yuan 	深遠	c=0 d=0.0826959 t=130
shen yuan ying xiang 	深遠影響	c=1 d=0.831104 t=130
shen zhi 	甚至	c=2 d=1.00001 t=6687
shen zhi ke yi 	甚至可以	c=1 d=1 t=2936
shen zuo 	神作	c=0 d=0.1 t=3817
sheng 	生	c=2 d=1 t=2926
sheng cheng 	生成	c=2 d=0.105252 t=4910
sheng cheng hao le 	生成好了	c=1 d=1 t=4258
sheng huo 	生活	c=1 d=0.1 t=6308
sheng ji 	升級	c=1 d=1.08228 t=173
sheng li 	勝利	c=2 d=1.8825 t=354
sheng lve 	省略	c=0 d=0.1 t=3257
sheng lve diao de 	省略掉的	c=1 d=1 t=3258
sheng wen 	升溫	c=1 d=1 t=493
sheng wu 	生物	c=2 d=1.00005 t=6019
sheng xiao 	生效	c=0 d=0.1 t=5825
sheng yi wu 	圣遗物	c=1 d=1 t=2042
sheng yu jia zhi 	剩餘價值	c=1 d=1 t=1797
shi 	事	c=5 d=1.00001 t=5432
shi 	使	c=2 d=1 t=4475
shi 	十	c=0 d=0.1 t=2068
shi 	是	c=42 d=2.98522 t=6751
shi 	時	c=15 d=1.00094 t=6803
shi 	試	c=1 d=1 t=2126
shi a 	是啊	c=1 d=1 t=3898
shi ba 	是吧	c=1 d=1 t=4108
shi bai de 	失敗的	c=1 d=1 t=4472
shi bie 	識別	c=2 d=1.95123 t=929
shi bu shi 	是不是	c=1 d=1 t=5611
shi chang 	市場	c=0 d=0.1 t=276
shi cong 	是從	c=1 d=1 t=4009
shi cuo de 	是錯的	c=1 d=1 t=5682
shi dai 	時代	c=0 d=0.1 t=1561
shi dai fa zhan de 	時代發展的	c=1 d=1 t=1562
shi de 	使得	c=3 d=1.00201 t=1595
shi de 	是的	c=5 d=1 t=6672
shi duo yang de 	是多樣的	c=1 d=1.1 t=1552
shi fan 	示範	c=1 d=1 t=3100
shi fou 	是否	c=6 d=1.01099 t=2745
shi fou shi 	是否是	c=1 d=1 t=1169
shi fou you xin hao 	是否有信號	c=1 d=1 t=2292
shi ge 	是個	c=6 d=1 t=6655
shi ge ren 	是個人	c=1 d=1 t=3525
shi ge zen me hui shi 	是個怎麼回事	c=1 d=1 t=4407
shi gong yu 	十公寓	c=2 d=1.70117 t=2140
shi guo 	試過	c=1 d=1 t=3662
shi guo le 	試過了	c=1 d=1 t=2110
shi hang 	十行	c=0 d=0.1 t=4264
shi hou 	時候	c=2 d=0.1 t=5590
shi ji 	實際	c=0 d=0.1 t=1227
shi ji shang 	實際上	c=1 d=1 t=4375
shi ji shi yong shang 	實際使用上	c=1 d=1 t=1228
shi ji wen ti 	實際問題	c=1 d=1 t=6338
shi jian 	時間	c=2 d=1.00018 t=5356
shi jian fu du zui ai du 	時間幅度最愛讀	c=1 d=1 t=1231
shi jian fu za du 	时间复杂度	c=4 d=1.11882 t=5279
shi jiao 	視角	c=3 d=2.02438 t=3477
shi jie 	世界	c=9 d=1.01579 t=4011
shi jie 	視界	c=1 d=1 t=5629
shi jie de 	世界的	c=1 d=0.727038 t=130
shi jie ge guo 	世界各國	c=1 d=1 t=139
shi jie jing ji 	世界經濟	c=0 d=0.1 t=227
shi jie jing ji zhong xin 	世界經濟重心	c=1 d=1 t=228
shi jie ren min 	世界人民	c=1 d=1 t=360
shi jie shu 	世界树	c=3 d=2.75131 t=2715
shi jie shu li 	世界树裏	c=1 d=1 t=2716
shi jie yu 	世界語	c=3 d=1.94999 t=6693
shi jin qu le 	是進去了	c=1 d=1 t=4448
shi kong 	時空	c=2 d=1.00201 t=5348
shi kong fu za du 	時空複雜度	c=3 d=1.82541 t=5362
shi lang 	是狼	c=1 d=1 t=6740
shi li 	勢力	c=1 d=1 t=388
shi li 	實力	c=1 d=1 t=335
shi ni de 	是你的	c=1 d=1 t=989
shi nian qian 	十年前	c=0 d=0.1 t=2662
shi pei qi 	適配器	c=0 d=0.1 t=5841
shi pin 	視頻	c=2 d=0.909373 t=6821
shi qing 	事情	c=1 d=1 t=2923
shi sha 	是啥	c=0 d=0.1 t=839
shi shen me 	是什麼	c=1 d=1 t=6328
shi shen me a 	是什麼啊	c=1 d=1 t=3868
shi shen me ne 	是什麼呢	c=1 d=1 t=3869
shi shen me yi si ne 	是什麼意思呢	c=1 d=1 t=3401
shi shi 	實施	c=1 d=0.840818 t=243
shi shi 	施事	c=1 d=1 t=6794
shi shi 	試試	c=1 d=1 t=3474
shi shi me 	是什麼	c=5 d=1.84762 t=6036
shi ta 	是他	c=0 d=0.1 t=2080
shi tu 	視圖	c=9 d=1.91271 t=5094
shi tu 	試圖	c=1 d=0.1 t=5178
shi tu de 	視圖的	c=2 d=1.94176 t=2020
shi wang 	失望	c=1 d=1 t=362
shi wo 	是我	c=1 d=1 t=2661
shi wo zi ji 	是我自己	c=1 d=1 t=2044
shi xian 	實現	c=6 d=1.47111 t=6244
shi xian de 	實現的	c=1 d=1 t=4566
shi xian le 	實現了	c=1 d=1 t=2474
shi xu luo ji 	时序逻辑	c=0 d=0.1 t=2606
shi xu luo ji dian lu 	时序逻辑電路	c=1 d=1 t=2607
shi yan 	實驗	c=11 d=3.08816 t=4795
shi yan bao gao 	實驗報告	c=4 d=1.00022 t=4485
shi yan dai ma 	實驗代碼	c=2 d=1.4607 t=1305
shi yan er 	實驗二	c=2 d=1 t=4797
shi yan jin xing 	實驗進行	c=1 d=1 t=2001
shi yan jin xing zhong 	實驗進行中	c=2 d=1.47473 t=1854
shi yan san 	實驗三	c=1 d=1 t=1414
shi yan tai 	實驗臺	c=5 d=2.98405 t=2635
shi yan tai yan shi 	實驗臺演示	c=1 d=1 t=2636
shi yan yi 	實驗一	c=2 d=1.97531 t=1415
shi yan zhong wei 	實驗中爲	c=1 d=1 t=2373
shi yi 	是一	c=0 d=0.1 t=3338
shi yi ge 	是一個	c=3 d=2.186 t=3560
shi yi ge ren 	是一個人	c=1 d=1 t=3528
shi yi kuan 	是一款	c=1 d=1 t=3233
shi yi xie 	是一些	c=1 d=1 t=3339
shi yin wei 	是因爲	c=1 d=1 t=2819
shi yong 	使用	c=18 d=1.5877 t=6821
shi yong 	試用	c=1 d=1 t=1382
shi yong de shi 	使用的是	c=1 d=1 t=5211
shi yong fang fa 	使用方法	c=3 d=1.91995 t=2249
shi yong fang shi 	使用方式	c=2 d=1.0671 t=2021
shi yong guo de 	使用過的	c=1 d=1 t=5827
shi yong le 	使用了	c=1 d=1.09501 t=5818
shi yong ying wen 	使用英文	c=1 d=1 t=4335
shi you 	室友	c=1 d=1 t=627
shi you 	是由	c=1 d=1 t=3222
shi you 	石油	c=1 d=1.04404 t=417
shi zai 	是在	c=1 d=1 t=3470
shi zhe ge 	是這個	c=1 d=1 t=6696
shi zhe yang de 	是這樣的	c=1 d=1 t=3397
shi zhen de 	是真的	c=1 d=1 t=3969
shi zhen shi de 	是真實的	c=1 d=1 t=3808
shi zheng que de 	是正確的	c=2 d=1.0052 t=3549
shi zhong 	始終	c=1 d=1 t=6132
shi zhong 	時鐘	c=1 d=1 t=2419
shi zhong zhou qi 	时钟周期	c=8 d=5.90189 t=2448
shou 	手	c=1 d=1 t=5624
shou 	收	c=1 d=1 t=3755
shou bing 	手柄	c=1 d=1 t=6730
shou cang 	收藏	c=1 d=1.004 t=1648
shou cang jia 	收藏夾	c=1 d=1 t=1650
shou chu 	售出	c=1 d=1 t=210
shou dao 	受到	c=1 d=0.100009 t=2720
shou dao le 	受到了	c=0 d=0.1 t=385
shou dao xian zhi 	受到限制	c=1 d=1 t=402
shou dian 	手電	c=1 d=1 t=6473
shou dong 	手動	c=3 d=0.1 t=5847
shou dong xia zai le 	手動下載了	c=1 d=1 t=5848
shou ji 	手機	c=0 d=0.1 t=3753
shou ji hao 	手機號	c=1 d=1 t=3781
shou jiao 	手腳	c=1 d=1 t=2991
shou ju 	收據	c=1 d=1 t=6286
shou shi 	受事	c=0 d=0.1 t=6809
shou shi ge 	受事格	c=1 d=1 t=6810
shou wan 	手腕	c=0 d=0.1 t=6581
shou wan shang 	手腕上	c=1 d=1 t=6582
shou wang 	守望	c=1 d=1 t=611
shou wang xian feng 	守望先锋	c=2 d=1 t=4298
shou xian 	首先	c=2 d=1.41066 t=339
shu 	數	c=11 d=5.14362 t=4610
shu 	樹	c=1 d=1 t=6318
shu 	輸	c=2 d=0.181731 t=5090
shu biao 	鼠標	c=1 d=1 t=674
shu bu jin qu zi 	輸不進去字	c=1 d=1 t=5091
shu chu 	輸出	c=33 d=5.29804 t=6228
shu chu qi 	輸出其	c=1 d=1 t=4547
shu dian wang zu 	數典忘祖	c=1 d=1 t=2813
shu jin qu 	輸進去	c=0 d=0.1 t=2127
shu ju 	數據	c=38 d=3.34641 t=6262
shu ju cha xun 	數據查詢	c=2 d=1.06173 t=1985
shu ju chu li 	數據處理	c=1 d=1 t=1837
shu ju de 	數據的	c=2 d=1.76721 t=1898
shu ju de ding yi 	數據的定義	c=1 d=1 t=1722
shu ju ding yi 	數據定義	c=1 d=1 t=1416
shu ju geng xin 	數據更新	c=1 d=1 t=1427
shu ju ji 	數據集	c=1 d=1 t=3247
shu ju jie gou 	數據結構	c=2 d=1.16613 t=1840
shu ju ku 	數據庫	c=19 d=2.82354 t=5098
shu ju ku zhong de 	數據庫中的	c=1 d=1 t=4013
shu ju tiao mu 	數據條目	c=1 d=1 t=1892
shu ju yi lai 	数据依赖	c=1 d=0.621885 t=130
shu liang 	數量	c=2 d=1 t=4497
shu liang de 	數量的	c=1 d=1 t=1182
shu mu 	數目	c=0 d=0.1 t=1265
shu mu de 	數目的	c=1 d=1 t=1266
shu ru 	輸入	c=19 d=1.96274 t=6118
shu ru de 	輸入的	c=1 d=0.691555 t=4347
shu ru di zhi 	輸入地址	c=1 d=1 t=2369
shu ru duan 	輸入端	c=1 d=1 t=2296
shu ru ming ling 	輸入命令	c=1 d=1 t=3354
shu ru shi 	輸入時	c=1 d=1 t=850
shu ru shu chu 	輸入輸出	c=2 d=1.90032 t=844
shu ru shu ju 	輸入數據	c=1 d=1 t=4518
shu ru xin xi 	輸入信息	c=1 d=1 t=5332
shu shu 	叔叔	c=1 d=1 t=2662
shu wang 	樹王	c=1 d=1 t=2727
shu wei 	數位	c=1 d=1 t=2322
shu xi 	熟悉	c=3 d=2.86537 t=2236
shu xue 	數學	c=1 d=1 t=1836
shu zhi 	數值	c=1 d=1 t=6314
shu zi 	數字	c=11 d=3.94062 t=4575
shu zu 	數組	c=12 d=2.6131 t=6208
shu zu de 	數組的	c=1 d=1 t=6199
shu zu zhong 	數組中	c=1 d=1 t=1040
shua 	刷	c=1 d=1 t=5744
shua shen me 	刷什麼	c=1 d=1 t=2665
shuai xian 	率先	c=1 d=1 t=341
shuang biao 	双标	c=0 d=0.1 t=4384
shuang biao de 	双标的	c=1 d=1 t=4385
shuang pin 	雙拼	c=2 d=1.72573 t=6821
shuang xi tong 	雙系統	c=1 d=1 t=5627
shui 	水	c=0 d=0.1 t=5425
shui mian 	睡眠	c=1 d=1 t=5753
shui ping 	水平	c=0 d=0.1 t=3816
shun li 	順利	c=1 d=1.00021 t=2540
shun xu 	順序	c=2 d=1 t=4510
shuo 	說	c=5 d=0.26361 t=5729
shuo de hua 	說的話	c=1 d=0.461146 t=3967
shuo de shi 	說的是	c=0 d=0.1 t=2690
shuo fa 	說法	c=0 d=0.1 t=3452
shuo hao 	說好	c=0 d=0.1 t=3498
shuo hao yao 	說好要	c=1 d=1 t=3499
shuo hua de shi hou 	說話的時候	c=1 d=1 t=5591
shuo ming 	說明	c=1 d=1 t=715
shuo qi lai 	說起來	c=1 d=1 t=3661
shuo xia qu 	說下去	c=1 d=1 t=3088
shuo zhe 	說着	c=1 d=1 t=6578
si 	四	c=4 d=1.01395 t=2416
si 	廝	c=0 d=0.1 t=5893
si 	死	c=2 d=1.00101 t=5550
